991006458;ROLDANA P/TENDIDO RT3-1R(240)HG;2845;Ferretería;2846;Varios ferretería;0005;FADHEL;10.50;0.0000;0;01;RT3-1R;ROLDANA P/TENDIDO RT3-1R(240)HG;7
991006459;KIT P/PORTON CORRED.A CREM.1/3HP 600K. F00980-S;2851;Automatizacion de portones.;2852;Corredizos;0871;SEG;10.50;0.0000;0;01;F00980-S;KIT P/PORTON CORRED.A CREM.1/3HP 600K. F00980-S;
991006460;FIBRA OPTICA SM P/DUCTO 24 HILOS;2741;Cableado estructurado.;2753;Fibra óptica.;0574;FURUKAWA;21.00;5479.7270;0;01;;FIBRA OPTICA SM P/DUCTO 24 HILOS;
991006461;FAROLA  DE ALUMINIO  60cm E27  DECK 600;209;Jardín y Exterior;2684;Farolas;1027;LUMINIS;21.00;120736.5588;1;01;DECK 600;FAROLA  DE ALUMINIO  60cm E27  DECK 600;1
991006462;FAROLA DE  ALUMINIO 2000mm E27  DECK2000;209;Jardín y Exterior;2684;Farolas;1027;LUMINIS;21.00;319951.8808;1;01;DECK2000;Farola de aluminio 2000mm e27  deck2000;2
991006463;KIT DE EMERGENCIA P/INFANTI/TASSO LED;207;De Seguridad;2695;De Emergencia;0177;TICAR - LUCCIOLA;21.00;65734.3487;1;01;KIT EMERG.;KIT DE EMERGENCIA P/INFANTI/TASSO LED GEN2;1000
991006464;JTPSPB002015-PTC ST/PC-SC/PC MM DUPLEX 62.5/125 02x3x015MT.;2741;Cableado estructurado.;2756;Patch cords.;0632;ADECOMM;10.50;82296.1082;1;01;JTPSPB002015;JTPSPB002015-PTC ST/PC-SC/PC MM DUPLEX 62.5/125 02x3x015MT.;
991006465;CAP.MONOF.400 Vca. c/termin. 40   Mf.;117;Capacitores ilum. mot.;1959;Capacitores de Iluminación;0311;CORILUX;21.00;14561.3530;1;01;CCT023;CAP.MONOF.400 Vca. c/termin. 40   Mf.;
991006466;MOD.LOGO CMR2020   100335673;2586;PLC/ Reles programables;2589;Logo;0418;SIEMENS;21.00;2149655.5080;1;01;100335673;MOD.LOGO CMR2020   100335673;
991006467;LOGO 8 12/24 RCEo 12/24  100323890;2586;PLC/ Reles programables;2589;Logo;0418;SIEMENS;10.50;340510.1700;0;01;100323890;LOGO 8 12/24 RCEo 12/24  100323890;
991006468;LUMINARIA INDUSTRIAL S/REJA NEGRO;200;Techo;2676;Colgantes;0342;ALIC;21.00;68686.1686;1;01;ART0106;LUMINARIA INDUSTRIAL S/REJA NEGRO;
991006469;LUMINARIA INDUSTRIAL S/REJA BLANCO;200;Techo;2676;Colgantes;0342;ALIC;21.00;68686.1686;1;01;ART0107;LUMINARIA INDUSTRIAL S/REJA BLANCO;
991006470;FAROLA V4 2 LUCES LED 100W BCO.FRIO 90º IP66;209;Jardín y Exterior;2684;Farolas;1028;LEDSCENE;21.00;1032511.8700;0;01;AXF14SAP032CWB009066;FAROLA V4 2 LUCES LED 100W BCO.FRIO 90º IP66;0                                                  
991006471;FAROLA V4 3 LUCES LED 150W BCO.FRIO 90º IP66;209;Jardín y Exterior;2684;Farolas;1028;LEDSCENE;21.00;1570067.1657;0;01;AXF14SAP033CWB009066;FAROLA V4 3 LUCES LED 150W BCO.FRIO 90º IP66;0                                                  
